Symbol,Frequency
0  ,0.00e+00
1  ,0.00e+00
2  ,0.00e+00
3  ,0.00e+00
4  ,0.00e+00
5  ,0.00e+00
6  ,6.10e-05
7  ,0.00e+00
8  ,0.00e+00
9  ,0.00e+00
10 ,0.00e+00
11 ,0.00e+00
12 ,0.00e+00
13 ,0.00e+00
14 ,0.00e+00
15 ,0.00e+00
16 ,0.00e+00
17 ,0.00e+00
18 ,0.00e+00
19 ,0.00e+00
20 ,0.00e+00
21 ,0.00e+00
22 ,0.00e+00
23 ,0.00e+00
24 ,0.00e+00
25 ,0.00e+00
26 ,0.00e+00
27 ,0.00e+00
28 ,0.00e+00
29 ,0.00e+00
30 ,0.00e+00
31 ,0.00e+00
32 ,0.00e+00
33 ,6.10e-05
34 ,0.00e+00
35 ,0.00e+00
36 ,0.00e+00
37 ,0.00e+00
38 ,6.10e-05
39 ,0.00e+00
40 ,0.00e+00
41 ,0.00e+00
42 ,0.00e+00
43 ,0.00e+00
44 ,0.00e+00
45 ,0.00e+00
46 ,0.00e+00
47 ,0.00e+00
48 ,0.00e+00
49 ,0.00e+00
50 ,0.00e+00
51 ,0.00e+00
52 ,0.00e+00
53 ,0.00e+00
54 ,0.00e+00
55 ,0.00e+00
56 ,6.10e-05
57 ,0.00e+00
58 ,0.00e+00
59 ,0.00e+00
60 ,0.00e+00
61 ,0.00e+00
62 ,0.00e+00
63 ,0.00e+00
64 ,0.00e+00
65 ,6.10e-05
66 ,0.00e+00
67 ,1.22e-04
68 ,0.00e+00
69 ,0.00e+00
70 ,0.00e+00
71 ,0.00e+00
72 ,0.00e+00
73 ,0.00e+00
74 ,0.00e+00
75 ,0.00e+00
76 ,0.00e+00
77 ,0.00e+00
78 ,0.00e+00
79 ,0.00e+00
80 ,0.00e+00
81 ,0.00e+00
82 ,0.00e+00
83 ,0.00e+00
84 ,6.10e-05
85 ,6.10e-05
86 ,0.00e+00
87 ,6.10e-05
88 ,0.00e+00
89 ,1.22e-04
90 ,0.00e+00
91 ,6.10e-05
92 ,0.00e+00
93 ,6.10e-04
94 ,7.69e-03
95 ,9.28e-03
96 ,4.46e-03
97 ,3.30e-03
98 ,3.30e-03
99 ,3.23e-03
100,2.50e-03
101,2.62e-03
102,2.14e-03
103,2.08e-03
104,2.01e-03
105,2.32e-03
106,3.23e-03
107,3.78e-03
108,2.81e-03
109,4.46e-03
110,5.86e-03
111,1.26e-02
112,2.42e-02
113,1.52e-02
114,1.09e-02
115,7.87e-03
116,7.14e-03
117,7.20e-03
118,6.84e-03
119,8.00e-03
120,1.11e-02
121,1.18e-02
122,2.04e-02
123,3.09e-02
124,1.69e-02
125,1.45e-02
126,1.31e-02
127,1.25e-02
128,1.60e-02
129,1.32e-02
130,1.21e-02
131,1.42e-02
132,1.54e-02
133,2.28e-02
134,3.80e-02
135,1.31e-02
136,6.65e-03
137,7.02e-03
138,6.53e-03
139,7.63e-03
140,7.75e-03
141,8.67e-03
142,4.94e-03
143,4.94e-03
144,5.55e-03
145,8.24e-03
146,1.15e-02
147,5.25e-03
148,2.93e-03
149,4.39e-03
150,3.23e-03
151,3.48e-03
152,3.91e-03
153,3.85e-03
154,3.78e-03
155,4.82e-03
156,5.37e-03
157,5.92e-03
158,8.30e-03
159,1.12e-02
160,2.14e-02
161,9.22e-03
162,1.22e-04
163,1.83e-04
164,4.88e-04
165,2.44e-04
166,1.22e-04
167,2.44e-04
168,2.44e-04
169,1.83e-04
170,3.05e-04
171,6.10e-05
172,1.22e-04
173,3.05e-04
174,6.10e-05
175,0.00e+00
176,2.44e-04
177,1.83e-04
178,6.10e-05
179,0.00e+00
180,1.83e-04
181,1.83e-04
182,0.00e+00
183,3.05e-04
184,1.22e-04
185,0.00e+00
186,1.22e-04
187,1.83e-04
188,1.22e-04
189,6.10e-05
190,1.22e-04
191,0.00e+00
192,1.83e-04
193,6.10e-05
194,0.00e+00
195,0.00e+00
196,6.10e-05
197,0.00e+00
198,1.83e-04
199,6.10e-05
200,6.10e-05
201,0.00e+00
202,0.00e+00
203,6.10e-05
204,1.22e-04
205,0.00e+00
206,0.00e+00
207,6.10e-05
208,0.00e+00
209,0.00e+00
210,6.10e-05
211,6.10e-05
212,6.10e-05
213,0.00e+00
214,1.22e-04
215,0.00e+00
216,0.00e+00
217,6.10e-05
218,6.10e-05
219,0.00e+00
220,0.00e+00
221,6.10e-05
222,0.00e+00
223,0.00e+00
224,0.00e+00
225,0.00e+00
226,0.00e+00
227,0.00e+00
228,0.00e+00
229,0.00e+00
230,0.00e+00
231,0.00e+00
232,0.00e+00
233,0.00e+00
234,0.00e+00
235,0.00e+00
236,0.00e+00
237,6.10e-05
238,0.00e+00
239,0.00e+00
240,0.00e+00
241,0.00e+00
242,0.00e+00
243,6.10e-05
244,0.00e+00
245,0.00e+00
246,0.00e+00
247,0.00e+00
248,0.00e+00
249,0.00e+00
250,0.00e+00
251,0.00e+00
252,0.00e+00
253,0.00e+00
254,6.10e-05
255,0.00e+00
4.0670
