Symbol,Frequency
0  ,0.00e+00
1  ,0.00e+00
2  ,0.00e+00
3  ,0.00e+00
4  ,0.00e+00
5  ,0.00e+00
6  ,0.00e+00
7  ,0.00e+00
8  ,0.00e+00
9  ,0.00e+00
10 ,0.00e+00
11 ,0.00e+00
12 ,0.00e+00
13 ,0.00e+00
14 ,0.00e+00
15 ,0.00e+00
16 ,0.00e+00
17 ,0.00e+00
18 ,0.00e+00
19 ,0.00e+00
20 ,0.00e+00
21 ,0.00e+00
22 ,0.00e+00
23 ,0.00e+00
24 ,0.00e+00
25 ,0.00e+00
26 ,0.00e+00
27 ,0.00e+00
28 ,0.00e+00
29 ,0.00e+00
30 ,0.00e+00
31 ,6.10e-05
32 ,5.31e-03
33 ,3.17e-03
34 ,2.08e-03
35 ,1.89e-03
36 ,2.81e-03
37 ,2.14e-03
38 ,2.08e-03
39 ,2.32e-03
40 ,2.38e-03
41 ,1.65e-03
42 ,2.20e-03
43 ,1.83e-03
44 ,2.32e-03
45 ,2.32e-03
46 ,1.77e-03
47 ,2.38e-03
48 ,2.20e-03
49 ,2.08e-03
50 ,1.89e-03
51 ,2.56e-03
52 ,2.56e-03
53 ,1.77e-03
54 ,2.44e-03
55 ,2.01e-03
56 ,2.20e-03
57 ,2.14e-03
58 ,2.26e-03
59 ,2.14e-03
60 ,1.77e-03
61 ,2.32e-03
62 ,2.62e-03
63 ,1.59e-03
64 ,2.38e-03
65 ,2.32e-03
66 ,2.38e-03
67 ,2.44e-03
68 ,2.99e-03
69 ,2.26e-03
70 ,2.08e-03
71 ,2.20e-03
72 ,2.26e-03
73 ,2.20e-03
74 ,2.50e-03
75 ,2.44e-03
76 ,2.50e-03
77 ,2.69e-03
78 ,1.04e-02
79 ,7.63e-03
80 ,7.87e-03
81 ,8.00e-03
82 ,7.20e-03
83 ,7.20e-03
84 ,8.36e-03
85 ,6.23e-03
86 ,7.20e-03
87 ,6.71e-03
88 ,7.63e-03
89 ,7.20e-03
90 ,7.39e-03
91 ,7.51e-03
92 ,7.45e-03
93 ,6.35e-03
94 ,7.63e-03
95 ,7.20e-03
96 ,7.81e-03
97 ,6.90e-03
98 ,7.75e-03
99 ,6.47e-03
100,7.69e-03
101,7.26e-03
102,7.14e-03
103,8.42e-03
104,1.21e-02
105,1.53e-03
106,1.77e-03
107,1.83e-03
108,1.59e-03
109,1.83e-03
110,1.53e-03
111,9.16e-04
112,1.65e-03
113,1.34e-03
114,8.54e-04
115,1.71e-03
116,1.83e-03
117,1.77e-03
118,1.59e-03
119,1.40e-03
120,1.10e-03
121,1.89e-03
122,1.77e-03
123,1.46e-03
124,2.01e-03
125,7.32e-04
126,2.01e-03
127,1.77e-03
128,1.16e-03
129,1.22e-03
130,1.40e-03
131,1.71e-03
132,1.04e-03
133,1.59e-03
134,1.46e-03
135,2.01e-03
136,1.71e-03
137,1.59e-03
138,2.08e-03
139,1.16e-03
140,1.34e-03
141,1.34e-03
142,1.40e-03
143,1.59e-03
144,9.77e-04
145,1.40e-03
146,1.22e-03
147,2.14e-03
148,1.53e-03
149,1.77e-03
150,1.04e-03
151,7.14e-03
152,6.16e-03
153,5.31e-03
154,5.25e-03
155,4.82e-03
156,5.49e-03
157,5.80e-03
158,5.25e-03
159,4.15e-03
160,4.88e-03
161,5.86e-03
162,4.70e-03
163,4.82e-03
164,5.19e-03
165,4.82e-03
166,6.04e-03
167,5.92e-03
168,5.13e-03
169,4.52e-03
170,5.07e-03
171,5.19e-03
172,4.70e-03
173,5.19e-03
174,5.55e-03
175,6.96e-03
176,5.86e-03
177,7.14e-03
178,4.58e-03
179,2.01e-03
180,1.16e-03
181,1.95e-03
182,1.89e-03
183,1.83e-03
184,1.04e-03
185,2.32e-03
186,1.77e-03
187,1.83e-03
188,2.01e-03
189,1.89e-03
190,2.38e-03
191,1.89e-03
192,2.32e-03
193,1.77e-03
194,2.01e-03
195,1.28e-03
196,1.34e-03
197,2.26e-03
198,1.77e-03
199,2.26e-03
200,1.89e-03
201,1.95e-03
202,1.40e-03
203,1.46e-03
204,1.83e-03
205,2.14e-03
206,2.38e-03
207,2.26e-03
208,2.08e-03
209,2.26e-03
210,1.71e-03
211,1.77e-03
212,1.53e-03
213,1.77e-03
214,2.14e-03
215,1.65e-03
216,1.95e-03
217,1.83e-03
218,1.46e-03
219,2.69e-03
220,2.56e-03
221,2.20e-03
222,2.81e-03
223,4.03e-03
224,1.40e-03
225,0.00e+00
226,0.00e+00
227,0.00e+00
228,0.00e+00
229,0.00e+00
230,0.00e+00
231,0.00e+00
232,0.00e+00
233,0.00e+00
234,0.00e+00
235,0.00e+00
236,0.00e+00
237,0.00e+00
238,0.00e+00
239,0.00e+00
240,0.00e+00
241,0.00e+00
242,0.00e+00
243,0.00e+00
244,0.00e+00
245,0.00e+00
246,0.00e+00
247,0.00e+00
248,0.00e+00
249,0.00e+00
250,0.00e+00
251,0.00e+00
252,0.00e+00
253,0.00e+00
254,0.00e+00
255,0.00e+00
4.9783
